2021-10-26 13:00:40 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:40 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:00:40 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:00:44 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:44 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:00:44 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:00:47 DEBUG chesslib.c:167: g_alpha_beta | 581163 -165 59 45 0 0 2.320000 
2021-10-26 13:00:47 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:47 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:00:47 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:00:48 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:48 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:00:48 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:00:53 DEBUG chesslib.c:167: g_alpha_beta | 1044572 -205 51 35 0 0 4.759000 
2021-10-26 13:00:53 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:53 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:00:53 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:00:56 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:56 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 13:00:56 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:00:56 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:00:56 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 13:00:56 DEBUG chesslib.c:192: g_move_to | global castling = 0-1
2021-10-26 13:01:03 DEBUG chesslib.c:167: g_alpha_beta | 1499363 -185 57 42 0 0 6.898000 
2021-10-26 13:01:03 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:01:03 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:01:03 DEBUG chesslib.c:192: g_move_to | global castling = 0-1
2021-10-26 13:01:26 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 13:02:36 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 13:02:40 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:40 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:02:40 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:02:41 DEBUG chesslib.c:167: g_alpha_beta | 165214 -65 52 44 0 0 0.836000 
2021-10-26 13:02:41 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:41 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:02:41 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:02:45 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:45 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:02:45 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:02:48 DEBUG chesslib.c:167: g_alpha_beta | 581163 -165 59 45 0 0 2.280000 
2021-10-26 13:02:48 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:48 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:02:48 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:02:50 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:50 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:02:50 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:02:55 DEBUG chesslib.c:167: g_alpha_beta | 1044572 -205 51 35 0 0 4.764000 
2021-10-26 13:02:55 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:55 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:02:55 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:02:59 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:59 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 13:02:59 DEBUG chesslib.c:192: g_move_to | global castling = 0-0
2021-10-26 13:02:59 DEBUG chesslib.c:200: g_move_to | set castling[1]=1
2021-10-26 13:02:59 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:02:59 DEBUG chesslib.c:191: g_move_to | is_castling = 1
2021-10-26 13:02:59 DEBUG chesslib.c:192: g_move_to | global castling = 0-1
2021-10-26 13:02:59 DEBUG chesslib.c:200: g_move_to | set castling[1]=1
2021-10-26 13:03:06 DEBUG chesslib.c:167: g_alpha_beta | 1499363 -185 57 42 0 0 7.021000 
2021-10-26 13:03:06 DEBUG chesslib.c:190: g_move_to | en_passant = 0
2021-10-26 13:03:06 DEBUG chesslib.c:191: g_move_to | is_castling = 0
2021-10-26 13:03:06 DEBUG chesslib.c:192: g_move_to | global castling = 0-1
2021-10-26 13:03:36 DEBUG chesslib.c:100: g_close_chess_lib
2021-10-26 13:06:23 DEBUG chesslib.c:87: g_init_chess_lib
2021-10-26 13:06:34 DEBUG chesslib.c:191: g_move_to | en_passant = 0
2021-10-26 13:06:34 DEBUG chesslib.c:192: g_move_to | is_castling = 0
2021-10-26 13:06:34 DEBUG chesslib.c:193: g_move_to | global castling = 0-0
2021-10-26 13:06:35 DEBUG chesslib.c:167: g_alpha_beta | 165214 -65 52 44 0 0 0.773000 
