2022-01-21 09:32:29 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:29 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:29 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:30 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:32:31 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:32:31 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:31 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:31 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:31 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:32:34 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:32:34 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:34 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:34 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:35 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:32:36 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:32:36 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:36 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:36 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:36 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:32:40 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:32:40 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:40 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:40 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:52 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:32:54 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:32:54 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:32:54 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:32:54 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:32:54 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:00 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:00 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:00 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:00 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:00 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:02 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:05 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:05 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:05 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:05 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:05 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:07 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:07 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:07 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:07 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:07 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:09 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:09 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:09 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:09 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:09 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:12 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:12 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:12 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:12 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:12 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:14 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:14 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:14 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:14 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:14 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:18 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:18 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:18 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:18 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:20 DEBUG win32chesslib.c:301: g_get_moves_list | color = 0
2022-01-21 09:33:21 DEBUG win32chesslib.c:229: g_move_to | color = 0
2022-01-21 09:33:21 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
2022-01-21 09:33:21 DEBUG win32chesslib.c:231: g_move_to | is_castling = 0
2022-01-21 09:33:21 DEBUG win32chesslib.c:232: g_move_to | global castling = 0-0
2022-01-21 09:33:21 DEBUG win32chesslib.c:181: g_alpha_beta | 1 5 
2022-01-21 09:33:23 DEBUG win32chesslib.c:229: g_move_to | color = 1
2022-01-21 09:33:23 DEBUG win32chesslib.c:230: g_move_to | en_passant = 0
